报告范围=["每日"],选择日期=["2025-08-10"],,,,,,,,,,,,,,,,,,,
搜索频率排名,搜索词,点击量最高的品牌 #1,点击量最高的品牌 #2,点击量最高的品牌 #3,点击量最高的类别 #1,点击量最高的类别 #2,点击量最高的类别 #3,点击量最高的商品 #1：ASIN,点击量最高的商品 #1：商品名称,点击量最高的商品 #1：点击份额,点击量最高的商品 #1：转化份额,点击量最高的商品 #2：ASIN,点击量最高的商品 #2：商品名称,点击量最高的商品 #2：点击份额,点击量最高的商品 #2：转化份额,点击量最高的商品 #3：ASIN,点击量最高的商品 #3：商品名称,点击量最高的商品 #3：点击份额,点击量最高的商品 #3：转化份额,报告日期
11,ipad,Apple,CUPEISI,accrosoo,PC,Wireless,Digital_Text_2,B0DZ75TN5F,"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",38.21,29.45,B0DZ7871B8,"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Pink",11.43,4.83,B08264XHCZ,"Apple iPad, 10.2-Inch, Wi-Fi, 32GB, Space Gray (Renewed)",5.53,2,2025/8/10
12,labubu,POP MART,WESUN,,Toys,Apparel,Home,B0DRVPMBX3,"POP MART The Monsters COCA-COLA Series-Vinyl Face Blind Box, Blind Box Figures, Random Design Action Figures Collectible Toys Home Decorations, Holiday Birthday Gifts, Single Box",23.58,5.84,B0F7WZG4RF,"WESUN 3.0 Keychain Accessory Decor, Keychain Decoration Backpacks Bag Pendant, Collection Plush Hanging, Pendant Keyring Gift (Luck)",15.26,11.02,B0F7WJXKSB,"WESUN 3.0 Keychain Accessory Decor, Keychain Decoration Backpacks Bag Pendant, Collection Plush Hanging, Pendant Keyring Gift (Loyalty)",8.95,5.68,2025/8/10
13,the chosen,,The Chosen,BroadStreet Publishing,Digital_Video_Download,Video DVD,Jewelry,B0F4RTDRWB,The Chosen,18.06,0,B0CBYGGR97,The Chosen - Season 1,11.93,0,B0BZX1HJ7L,I Have Called You By Name,10.32,0,2025/8/10
14,magnesium glycinate,Pure Encapsulations,Double Wood Supplements,Nature Made,Health & Personal Care,Prescription_Drugs,Commerical_Onemedical_Membership,B07P5K7DQP,"Pure Encapsulations Magnesium (Glycinate) - Supplement to Support Stress Relief, Sleep, Heart Health, Nerves, Muscles, and Metabolism* - with Magnesium Glycinate - 90 Capsules",13.17,10.71,B0B6CTYD6S,"Magnesium Glycinate 400mg, 180 Capsules (Vegan Safe, Third Party Tested, Gluten Free, Non-GMO) High Absorption Magnesium by Double Wood Supplements",6.64,6.24,B0D3FGRBKQ,"Futurebiotics Magnesium Glycinate 200 MG per Serving Chelated for High Absorption, Gentle On Stomach, Non-GMO, 60 Vegetarian Capsules",6.02,3.46,2025/8/10
15,backpack,JANSPORT,THE NORTH FACE,MATEIN,Luggage,PC,Apparel,B0007QCQGI,"JanSport SuperBreak One Backpacks - Durable, Lightweight Bookbag with 1 Main Compartment, Front Utility Pocket with Built-in Organizer - Premium Backpack, Black",9.6,4.64,B06XZTZ7GB,"MATEIN Travel Laptop Backpack, Business Anti Theft Slim Sturdy Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gift for Men & Women Fits 15.6 Inch Notebook, Grey",6.92,3.59,B08W2MV4R6,JanSport SuperBreak Plus Backpack with Padded 15-inch Laptop Sleeve and Integrated Bottle Pocket - Spacious and Durable Daypack for Work and Travel - Blue Dusk,3.17,1.1,2025/8/10
16,jansport backpack,JANSPORT,,Simple Modern,Luggage,Home,PC,B0007QCQGI,"JanSport SuperBreak One Backpacks - Durable, Lightweight Bookbag with 1 Main Compartment, Front Utility Pocket with Built-in Organizer - Premium Backpack, Black",31.54,22.4,B07K74LDCH,"JanSport Laptop Backpack - Computer Bag with 2 Compartments, Ergonomic Shoulder Straps, 15” Laptop Sleeve, Haul Handle - Black",11.44,9.56,B08W2L7MC2,"JanSport Right Pack Backpack - Durable Daypack with Padded 15"" Laptop Sleeve, Spacious Main Compartment & Integrated Water Bottle Pocket - Black",7.27,4.27,2025/8/10
17,shower curtain,Dynamene,AmazerBath,Barossa Design,Home,Electronics,Furniture,B09CYLZPYP,"Dynamene Sage Green Shower Curtain - Waffle Textured Heavy Duty Thick Fabric Shower Curtains for Bathroom, 256GSM Luxury Weighted Polyester Cloth Bath Curtain Set with 12 Plastic Hooks，72Wx72H,Green",10.69,2.99,B08QRFZ6TH,"Barossa Design Plastic Shower Liner Clear - Premium PEVA Shower Curtain Liner with Rustproof Grommets and 3 Magnets, Waterproof Cute Lightweight Standard Size Bathroom Curtains - Clear",5.56,6.01,B08CRPWQHB,"BigFoot Shower Curtain Liner – 72 x 72 PEVA Premium Shower Curtain with Rustproof Metal Grommet and 3 Magnetic Weights – Odor Free and Compatible with Standard Showers, Clear",4.13,4.02,2025/8/10
18,school outfits for teachers,ATHMILE,IWOLLENCE,WIHOLL,Apparel,Softlines_Private_Label,Guild,B0C9Q4Q33G,IWOLLENCE Women's Wide Leg Pants with Pockets High Waist Adjustable Knot Loose Casual Trousers Business Work Casual Pants Black Large,10.53,2.1,B0DS5Q49XJ,ATHMILE Womens Short Sleeve Tops Summer 2025 Trendy Blouses Square Neck Cute Dressy Casual Ruffle Trim Sleeve Tshirts,7.39,1.49,B0DNPZRZHC,AUTOMET Women's Short Sleeve Shirts Dressy Lace Summer Tops 2025 Spring Trendy Casual T-Shirts Cute Work Outfits Blouses Khaki M,4.8,0.79,2025/8/10
19,highlighters,Sharpie,BiC,Zebra,Office Products,Home,Biss,B000Q5ZGIA,"BIC Brite Liner Highlighters, Chisel Tip, 5-Count Pack of Highlighters Assorted Colors, Ideal Highlighter Set for Organizing and Coloring",13.72,15.31,B008SOAN9I,"BIC Brite Liner Highlighters, Chisel Tip, 12-Count Pack of Highlighters Assorted Colors, Ideal Highlighter Set for Organizing and Coloring",8.67,11.04,B002BA5WLE,Sharpie Tank Style Highlighters Chisel Tip Fluorescent Highlighter Marker Set Office And Teacher Supplies Assorted 12 Count,8.59,9.05,2025/8/10
20,lunch box,EASYFUN,ZM-YOUTOO,BLUBOON,Kitchen,Outdoors,Tools,B0C4H2YVPX,"Lunch Bag for Women & Men Adult Insulated Lunch Box, Small Leakproof Cooler Food Lunch Containers Reusable High Capacity Lunch Tote Bags for Work, Travel, Outdoor (Grey)",9.3,4.27,B07VLFFV5F,ZM-YOUTOO Lunch Box for Men - Reusable Lunch Bag Men Adult Women- Insulated Small LunchBox,7.82,8.06,B0CKR255GV,Lovoeo Lunch box Lunch bag for men women Insulated Lunchbox Lunch bags for Work Picnic Travel (Black),3.77,3.1,2025/8/10
21,hydrogen water tablets,VVQ,Life Nutrition,RGD,Health & Personal Care,Grocery,Biss,B0FJG1K7TQ,"120 Tablets-H2 Molecular Hydrogen Water Tablets with Magnesium, Dietary Supplement, Supports Brain Health and Cognitive Function, Helps Fight Inflammation & Stress",30.99,2.33,B0FJQZKKKS,"120 Tablets-H2 Molecular Hydrogen Water Tablets with Magnesium, Dietary Supplement, Supports Brain Health and Cognitive Function",30.32,0,B0FKYVZXCG,"Hydrogen Water Tablets with Magnesium 120 Tablets 60 Servings, H2 Molecular Fast-Dissolving Hydrogen Supplements, Metabolism Supports Brain Health and Cognitive Function",29.45,0,2025/8/10
22,eggs,Amazon Grocery,365 BY WHOLE FOODS MARKET,Vital Farms,Fresh_Perishable,Grocery,Protein,B07ZS7B3VM,"Amazon Grocery, Cage-Free Large White Eggs, Grade A, 18 Ct (Previously Fresh Brand, Packaging May Vary)",6.75,5.5,B01MZHDHVM,"Vital Farms 18 Pasture-Raised Eggs, Large, Brown, Grade A, Certified Humane, 1.5 Dozen",6.43,5.99,B00M1QWODW,"Vital Farms Organic Pasture Raised Eggs Large Brown, 12 Count",5.65,5.39,2025/8/10
23,tinnitus relief,TOPICY,FDNM,Yakitoko,Health & Personal Care,Biss,Digital_Music_Purchase,B0FDKWH4G5,"Tinnitus Relief for Ringing Ears, (50Pcs) Tinnitus Relief Patches, Natural Herbal Blend, Support Ear Tinnitus Relief for Women Men",30.13,7.14,B0FH9YYYLK,"Yakitoko Tinnitus Relief for Ringing Ears, Natural Herbal Tinnitus Relieve Ear Ringing, Itching & Improve Hearing, Ringing Relief Drops, 60ML",20.98,0,B0FJXCGY1X,"Tinnitus Relief Supplement, Natural Treatment for Reduce Ear Noise & Improve Hearing, Tinnitus Relief for Ringing Ears, 120 Capsules (2-Mon Supply)",15.68,0,2025/8/10
24,pencil pouch,SPACEMATE,CICIMELON,EASTHILL,Office Products,Home,Art and Craft Supplies,B08P48YL4G,CICIMELON Large Capacity Pencil Case 3 Compartment Pouch Pen Bag for School Teen Girl Boy Men Women (Pink),8.41,2.62,B0BJPDJ84Y,"WEMATE Large Pencil Case Aesthetic,Big Capacity Canvas Pencil Pouch with Zipper, Pencil Case for Women & Men, Marker Pen Case,Portable Stationery Pencil Bag for Office Light Grey",7.63,3.6,B0BZYCHWJX,"SPACEMATE Pencil Case Pouch Box Bag School Supplies Girls Boys Kids, Cute Preppy Stuff Large Big Capacity Aesthetic Pen Organizer, Back to College Stationary, Purple, Heavy Duty Canvas, 1800ml",6.62,1.39,2025/8/10
25,shoe rack,Kitsure,LANTEFUL,ROMGUAR CRAFT,Furniture,Home,Kitchen,B0CNGTZ3B5,"Kitsure Shoe Rack - Premium Non-Woven Shoe Rack Shelf, Shoe Organizer for Closet, Entryway, Garage & Corridor, Sturdy & Durable Long Stackable Shoe Shelves, Medium, Black",14.57,11.33,B0DG217MLL,"LANTEFUL 3 Tier Shoe Rack for Closet, Shoe Organizer with 5 Hooks, Long Shoe Shelf Storage for Sneaker and Boot Stackable Free Standing Shoe Rack for Entryway, Garage, Small Spaces, Dorm",5.1,4.16,B0C3R76MWB,ROMGUAR CRAFT 3 Tier Bamboo Shoe Rack for Closet Free Standing Wood Shoe Shelf Storage Organizer for Entryway Small Space Stackable 27"x11"x20" (Natural),4.23,2.19,2025/8/10
26,kindle,Amazon,HNVHNV,CoBak,Digital_Text,Digital_Text_2,PC,B0CFPJYX7P,"Amazon Kindle Paperwhite 16GB (newest model) – Our fastest Kindle ever, with new 7"" glare-free display and weeks of battery life – Black",28.67,14.75,B0CNV9F72P,"Amazon Kindle 16 GB (newest model) - Lightest and most compact Kindle, now with faster page turns, and higher contrast ratio, for an enhanced reading experience - Black",19.29,13.49,B0CTMS5NBS,"New Amazon Kindle (16 GB) - Lightest and most compact Kindle, with glare-free display, faster page turns, adjustable front light, and long battery life - Matcha + 3 Months of Kindle Unlimited (with auto-renewal)",4.81,1.56,2025/8/10
27,apple watch,Apple,Tensky,QVEQ,Wireless,Electronics,Home Entertainment,B0DGJ73CFS,"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",25.24,17.76,B0DGJ5KQL7,"Apple Watch Series 10 [GPS 42mm case] Smartwatch with Jet Black Aluminium Case with Black Sport Band - S/M. Fitness Tracker, ECG App, Always-On Retina Display, Water Resistant",10.01,5.56,B0DGHYQ1VJ,"Apple Watch Series 10 [GPS 42mm case] Smartwatch with Rose Gold Aluminium Case with Light Blush Sport Band - S/M. Fitness Tracker, ECG App, Always-On Retina Display, Water Resistant",9.33,6.65,2025/8/10
28,south park,,South Park,Paramount,Digital_Video_Download,Video DVD,Toys,B0F6DZX6YM,South Park,19.48,0,B0FGBWSWWZ,South Park - Season 1,18,0,B0DMLFX8WJ,Cartman Gets An Anal Probe,13.49,0,2025/8/10
29,stanley cup,STANLEY,HydroJug,Labulabla,Outdoors,Kitchen,Biss,B0CRMWHW47,STANLEY Quencher H2.0 Tumbler with Handle and Straw 30 oz | Flowstate 3-Position Lid | Cup Holder Compatible for Travel | Insulated Stainless Steel Cup | BPA-Free | Peony,15.98,1.83,B0BNYR7MQV,"Stanley IceFlow Stainless Steel Tumbler with Straw - Vacuum Insulated Water Bottle for Home, Office or Car Reusable Cup with Straw Leak Resistant Flip Cold for 12 Hrs or Iced for 2 Days (Rose Quartz)",11.77,2.65,B0DCDZP98B,Stanley Quencher ProTour Flip Straw Tumbler with Leakproof Lid 30 oz | Built-In Straw & Handle | Cupholder Compatible for Travel | Insulated Stainless Steel Cup | BPA-Free | Rose Quartz,7.12,0.81,2025/8/10
30,air fryer,Chefman,NINJA,Cosori,Kitchen,Electronics,Biss,B07FDJMC9Q,"Ninja Air Fryer, Roast, Bake, Air Fry, Roast, Broil, Reheats, & Dehydrates, 4-in-1, Fries, Frozen Food, Veggies, and Juicy Meat, Less Oil, Easy Meals, Healthy Meals, Compact, 4 QT, Grey, AF101",11.48,8.15,B0DC11YH4J,"CHEFMAN 2 Qt Mini Air Fryer – Digital Space-Saving Compact Air Fryer with Nonstick and Dishwasher Safe Basket, Quick & Easy Meals in Minutes, Features Digital Timer and Shake Reminder – Black",11.43,7.71,B0C33CHG99,"COSORI Air Fryer 9-in-1, Compact & Large 6-Qt, Fast Turbo Modes, 90–450°F Precise Heat for Even Results, Up to 95% Less Oil*, Roast, Bake, Dry, Reheat, Frozen, Broil, Proof, 120V, TurboBlaze, Ceramic",10.04,9.45,2025/8/10
31,toothpaste,Crest,COLGATE,SENSODYNE,Beauty,Biss,Luxury_Beauty,B09F8FZ18G,"Crest 3D White Advanced Luminous Mint Teeth Whitening Toothpaste, Crest Toothpaste, 3.7 oz Pack of 4 - Helps Remove Surface Stains, Whitens Teeth, Strengthens Tooth Enamel, Protects Against Cavities",11.93,12.6,B005PLQIQ4,"Crest + Scope Whitening Toothpaste - Pack of 3, 5.4 Oz Tubes - Anticavity Fluoride Toothpaste, Fresh Breath, Kills Germs - Tartar Protection, Enamel Protection - Minty Fresh Flavor",7.41,7.84,B01BNHREXE,"Colgate Baking Soda & Peroxide Toothpaste - Whitens Teeth, Fights Cavities & Removes Stains, Brisk Mint, 6 Ounce (Pack of 2)",7.25,7.17,2025/8/10
32,wedding guest dress,PRETTYGARDEN,BTFBM,MIYIEONZ,Apparel,Beauty,Jewelry,B0DCVPKW7H,MIYIEONZ Women Sexy V Neck Sleeveless Mesh Ruffle Hem Bodycon Maxi Dress Casual Y2K Backless High Slit Cocktail Party Club Dress Yellow,2.69,0,B0DP6ZZY1D,"BTFBM Women Summer Floral Maxi Dresses Elegant Spaghetti Strap Dress Printed Party Dress Beach Long Dresses(Floral Green,Large)",2.19,0,B0C53FB542,"ZZV Wedding Guest Dresses for Women 2024 Gowns Evening Party Cocktail Dress,Long Split Elegant V Neck Wrap Ruffle Wedding Guest Dresses Black-XL",1.33,0,2025/8/10
33,bmf,,Lionsgate,St. Martin's Press,Digital_Video_Download,Digital_Music_Purchase,Video DVD,B0FJD1CNL8,Point of No Return,29.34,,B09Y1Q73NQ,BMF,24.24,,B0FBN7G5BL,BMF - Season 4,14.89,,2025/8/10
34,iphone 16 pro max case,SUPFINE,Otterbox,FNTCASE,Wireless,Guild,Electronics,B0DKCF6J6Q,"SUPFINE Magnetic for iPhone 16 Pro Max Case (Compatible with MagSafe) (Military Grade Drop Protection) Translucent Matte Shockproof Phone Cover, Black",7.84,6.68,B0D9YHM1YR,FNTCASE for iPhone 16 Pro-Max Case: Magnetic Military Grade Drop Protection Anti Yellowing Cell Phone Cover - Rugged Shockproof Protective Bumper Transparent Cases,4.72,3.84,B0D89KKC58,"ORNARTO Compatible with iPhone 16 Pro Max Case 6.9"", Slim Liquid Silicone 3 Layers Soft Gel Rubber Shockproof Protective Case with Anti-Scratch Microfiber Lining-Chalk Pink",3.12,1.27,2025/8/10
35,the gilded age,,HBO,Majosta,Digital_Video_Download,Video DVD,Books,B0DH2DW5R9,"The Gilded Age, Season 3",21.24,0,B09KG8VR7M,The Gilded Age,20.48,0,B0FGBFL94Q,Ex-Communicated,13.16,0,2025/8/10
36,aa batteries,Amazon Basics,Duracell,Energizer,Health & Personal Care,Electronics,Biss,B00NTCH52W,"Amazon Basics 20-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",26.55,22.08,B00MNV8E0C,"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",13.84,12.22,B09RTVD1GF,"Energizer AA Batteries Alkaline Power, 32 Count Alkaline Double A Battery Pack",9.7,8.84,2025/8/10
37,methylene blue drops,RGD,IHW,wonlute,Health & Personal Care,Biss,Camera,B0FKTDGJ8V,"Methylene Blue Drops Pharmaceutical Grade 2Oz, 1% USP Grade Blue Methylene for Humans, Highly Absorbable Supports Brain for Memory and Focus, Third-Party Tested, Made in USA",37.24,0,B0FL6MWRY5,"IHW Methylene Blue Drops, USP Grade 1% Methylene Blue Pharmaceutical Grade, Health Dietary Supplement for Memory Focus, Liquid Drops Increased Absorption,No Formaldehyde",35.38,0,B0FK2FVK3Z,"Methylene Blue 1% Liquid Drops, Methylene Blue Pharmaceutical Grade (USP) for Humans Brain Health and Energy Support, 2 Oz",18.8,0,2025/8/10
38,airpods,Apple,Beats,,Wireless,Electronics,Video Games,B0DGHMNQ5Z,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",44.47,40.75,B0D1XD1ZV3,"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",22.56,23.91,B07SKLLYTW,Apple AirPods 2 with Charging Case - White (Renewed),8.52,2.88,2025/8/10
39,tattoo cover up patch,WOPLAGYREAT,CURECURE,Yakitoko,Beauty,Health & Personal Care,Personal_Care_Appliances,B0FG7V48M9,"Tattoo Cover Up Patch, 6 Pcs Ultra Thin Tattoo Cover Up Tape for Tattoos, Scar and Birthmarks, Waterproof and Sweatproof",36.52,0,B0FCRQT9H7,"CURECURE Tattoo Cover Up Patch, 6 Pcs Ultra-Thin Waterproof Tattoo Cover Up Tape for Tattoos, Scars and Birthmarks",36.43,0,B0FH8X8VDF,"Tattoo Cover Up Patch, Waterproof & Sweatproof, Ultra-Thin Breathable Patch Concealer Sticker for Tattoos, Scar, Birthmarks & Spots",26,0,2025/8/10
40,pheromones perfumes for women,TANGDIAABBCC,Feugole,Pure Instinct,Beauty,Guild,Luxury_Beauty,B0FCYDJKCS,"TANGDIAABBCC Pheromones Perfumes for Women, Unique Scent With Pure Pheromones, Roller Ball Design, Portable and Long Lasting, Unleash Your Charm and Stay Confident, 20 ml",38.32,0,B0FKN5TCLZ,"TANGDIAABBCC Pheromones Perfumes for Women, Unique Scent With Pure Pheromones, Elegant and Charming Portable Travel Perfume, Unleash Your Charm and Stay Confident",33.32,0,B0DW92JRZD,"Feugole Pheromones Perfumes for Women,20 ML Long-lasting Roll on Pheromone Perfume to Attract Men,Unique Scent Pheromone Cologne for Women",20.02,0,2025/8/10
41,the pickup,,Paramount,,Digital_Video_Download,Digital_Ebook_Purchase,Video DVD,B0DQ6S1PJC,The Pickup,95.5,,B0DQ6N7QHN,The Pickup,3.23,,B0DMF7MXKT,War of the Worlds,0.34,,2025/8/10
42,desk,Huuger,Lufeiya,DUMOS,Furniture,Home,Electronics,B0DQKSVC1B,DUMOS 32 Inch Office Small Computer Desk Modern Simple Style Writing Study Work Table for Home Bedroom - Wood Black,5.34,3.43,B0BZVX58WF,"Lufeiya White Small Desk with Drawers - 40 Inch Computer Desk for Small Space Home Office, Modern Simple Study Writing Table PC Desks",4.9,1.66,B0B41YH9B6,"ErGear Height Adjustable Electric Standing Desk, 47.2 x 23.6 Inches Sit Stand up Desk, Memory Computer Home Office Desk with Two-Piece Desktop (Black)",4.15,4.27,2025/8/10
43,mini fridge,Upstreman,Electactic,frigidaire,Major Appliances,Kitchen,Biss,B0DN4LSNFF,"YSSOA 4L Mini Fridge with Observation Window, Portable Warmer & Cooler Six 12oz Cans Compact Refrigerator, 100% Eco Friendly and Freon-Free, Pink",8.54,3.06,B09RWFZTWW,"Upstreman 3.2 Cu.Ft Mini Fridge with Freezer, Single Door Mini Fridge, Dorm Fridge, Adjustable Thermostat, Mini Refrigerator for Bedroom, Office, Dorm, Black-BR321",8.41,5.69,B07MY44GBR,"Frigidaire EFR176 Retro Compact Fridge with Chiller Mini Refrigerator with Built-in Bottle Opener for Office, Bedroom, Dorm Room or Cabin, 1.6 cu ft 16"" D x 18"" W x 18.5"" H, Moonlight",4.46,1.53,2025/8/10
44,headphones,Sony,Beats,Soundcore,Electronics,Wireless,PC,B00NJ2M33I,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",8.9,13.09,B0BS1RT9S2,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone, Blue New",5.55,1.11,B0DLKB5V35,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 70H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, Travel, Office, USB-C Charging",3.28,1.37,2025/8/10
